"","acousticness","danceability","duration_ms","energy","instrumentalness","liveness","loudness","mode","speechiness","tempo","valence","key","time_signature","Class"
"1",0.435,0.713,201667,0.419,2.87e-06,0.126,-10.668,1,0.356,91.634,0.253,11,4,"0"
"2",0.358,0.894,216520,0.284,0.000487,0.11,-13.002,0,0.33,138.944,0.413,11,4,"0"
"3",0.176,0.941,209640,0.323,0,0.205,-10.307,1,0.506,120.036,0.662,10,4,"0"
"4",0.39,0.712,181880,0.62,0,0.0994,-4.187,1,0.0888,99.953,0.494,4,4,"0"
"5",0.164,0.335,241107,0.625,0,0.0708,-7.462,1,0.0386,150.277,0.346,7,4,"0"
"6",0.226,0.786,239299,0.578,0,0.229,-4.837,0,0.337,120.023,0.358,9,4,"0"
"7",0.776,0.435,209080,0.202,0.0976,0.245,-15.097,1,0.0702,139.574,0.0429,2,4,"0"
"8",0.00635,0.518,309973,0.858,0.00494,0.0652,-6.146,1,0.0685,117.909,0.261,0,4,"0"
"9",0.789,0.857,194347,0.378,0.000171,0.119,-8.371,0,0.0928,119.976,0.626,7,3,"0"
"10",0.76,0.725,155933,0.276,0,0.116,-12.25,1,0.0599,112.89,0.717,7,4,"0"
"11",0.358,0.894,216520,0.284,0.000487,0.11,-13.002,0,0.33,138.944,0.413,11,4,"0"
"12",0.218,0.713,316920,0.496,0.000237,0.0761,-10.045,0,0.311,162.039,0.6,7,4,"0"
"13",0.776,0.513,278920,0.197,0.00272,0.114,-15.167,1,0.0851,69.82,0.049,2,4,"0"
"14",0.109,0.501,195707,0.519,0,0.454,-5.88,0,0.0409,133.99,0.168,4,4,"0"
"15",0.0508,0.584,217603,0.569,0,0.0924,-4.259,1,0.166,89.779,0.501,0,4,"0"
"16",0.572,0.416,210307,0.773,0,0.105,-3.784,1,0.0949,122.65,0.716,8,4,"0"
"17",0.606,0.686,230600,0.417,1.79e-06,0.0844,-7.787,1,0.0363,82.407,0.451,7,3,"0"
"18",0.177,0.598,193546,0.673,0.000316,0.203,-6.134,0,0.0469,117.02,0.255,9,4,"0"
"19",0.125,0.568,208733,0.669,0,0.111,-4.889,0,0.0794,147.926,0.404,11,4,"0"
"20",0.47,0.364,268960,0.378,0,0.339,-7.381,0,0.0331,89.918,0.366,7,3,"0"
"21",0.676,0.661,131733,0.402,0,0.0556,-11.954,1,0.0299,119.585,0.822,2,4,"0"
"22",0.533,0.64,234526,0.819,0,0.156,-4.108,1,0.455,166.012,0.623,7,4,"0"
"23",0.652,0.676,124520,0.56,0,0.462,-6.281,1,0.0611,141.285,0.828,8,4,"0"
"24",0.0312,0.886,177184,0.427,0.00099,0.0906,-10.028,1,0.145,108.034,0.23,6,4,"0"
"25",0.711,0.69,232600,0.407,0,0.126,-7.739,1,0.0297,111.916,0.181,9,4,"0"
"26",0.00413,0.653,202805,0.718,0,0.0537,-5.232,0,0.213,82.034,0.216,3,4,"0"
"27",0.00383,0.647,198774,0.932,1.5e-06,0.0574,-3.515,1,0.0824,114.991,0.374,11,4,"0"
"28",0.181,0.585,249213,0.612,1.03e-05,0.293,-8.341,1,0.0806,77.487,0.188,1,4,"0"
"29",0.698,0.73,237427,0.747,1.63e-05,0.152,-9.496,0,0.324,90.039,0.751,8,4,"0"
"30",0.136,0.906,235040,0.444,6.44e-05,0.173,-8.692,0,0.384,140.063,0.678,4,4,"0"
"31",0.0406,0.488,226173,0.915,0,0.351,-4.255,1,0.0389,75.019,0.646,7,4,"0"
"32",0.847,0.734,95467,0.57,2.14e-05,0.112,-7.066,0,0.133,129.953,0.689,7,4,"0"
"33",0.069,0.843,163944,0.359,0,0.12,-7.417,1,0.461,81.987,0.156,0,4,"0"
"34",0.173,0.398,236834,0.58,4.04e-05,0.104,-8.319,1,0.0303,144.074,0.178,9,4,"0"
"35",0.0173,0.412,325615,0.548,0,0.181,-6.981,1,0.243,81.293,0.176,10,4,"0"
"36",0.0189,0.596,240427,0.838,1.54e-05,0.108,-6.52,0,0.0704,94.982,0.472,5,4,"0"
"37",0.0511,0.717,235477,0.347,2.43e-06,0.087,-10.265,0,0.0636,84.987,0.0589,11,4,"0"
"38",0.0312,0.618,180520,0.727,0,0.196,-7.224,0,0.208,164.992,0.401,3,4,"0"
"39",0.695,0.358,211467,0.557,0,0.0902,-7.398,1,0.059,85.043,0.494,10,4,"0"
"40",0.173,0.315,175517,0.563,0.000242,0.0673,-9.671,1,0.354,179.484,0.147,9,4,"0"
"41",0.00173,0.49,222920,0.603,0,0.134,-6.079,1,0.032,119.961,0.302,4,3,"0"
"42",0.126,0.524,260933,0.76,1.1e-05,0.239,-4.214,1,0.0361,143.991,0.437,5,4,"0"
"43",0.125,0.497,191827,0.805,0,0.167,-3.995,1,0.0332,166.048,0.696,11,4,"0"
"44",0.051,0.766,165600,0.64,0,0.237,-8.899,1,0.0345,100.044,0.67,0,4,"0"
"45",0.187,0.852,195840,0.773,3.05e-05,0.159,-2.921,0,0.0776,102.034,0.907,8,4,"0"
"46",0.00479,0.804,251333,0.56,0,0.164,-6.682,1,0.185,85.023,0.272,8,4,"0"
"47",0.366,0.762,243270,0.476,0,0.103,-12.686,1,0.114,130.007,0.375,0,4,"0"
"48",0.0496,0.96,223093,0.547,0,0.216,-6.992,0,0.0786,121.01,0.186,6,4,"0"
"49",0.199,0.743,326933,0.359,0.00611,0.137,-10.401,1,0.0794,160.083,0.587,1,4,"0"
"50",0.114,0.711,252256,0.739,0,0.226,-3.804,0,0.129,136.919,0.43,7,4,"0"
"51",0.156,0.71,218880,0.495,0,0.164,-7.369,1,0.22,160.091,0.396,8,4,"0"
"52",0.0158,0.552,189467,0.893,0,0.105,-4.593,1,0.0383,163.948,0.777,0,4,"0"
"53",0.00609,0.636,193253,0.836,0.000157,0.0828,-3.004,1,0.0427,139.956,0.715,8,4,"0"
"54",0.102,0.768,237573,0.485,0,0.128,-8.435,0,0.0825,140.016,0.289,6,4,"0"
"55",0.135,0.542,231360,0.727,0,0.328,-5.268,0,0.0849,150.098,0.548,1,4,"0"
"56",0.14,0.691,181200,0.624,0,0.168,-5.874,1,0.027,101.988,0.662,7,4,"0"
"57",0.319,0.456,213453,0.813,5.42e-06,0.0946,-4.676,1,0.0452,185.993,0.635,2,5,"0"
"58",0.0169,0.632,187813,0.716,0,0.0758,-5.677,0,0.043,88.549,0.655,5,4,"0"
"59",0.0231,0.392,243253,0.825,2.25e-06,0.0972,-2.068,0,0.0535,98.959,0.482,0,4,"0"
"60",0.562,0.822,198001,0.544,2.4e-05,0.144,-6.797,1,0.0332,122.047,0.861,0,4,"0"
"61",0.707,0.171,182400,0.33,0.00381,0.302,-9.699,1,0.0329,174.431,0.315,5,3,"0"
"62",0.0171,0.61,217467,0.822,1.88e-06,0.093,-4.422,1,0.0355,93.993,0.437,0,4,"0"
"63",0.116,0.685,201893,0.783,0,0.194,-4.152,1,0.0276,90.008,0.525,11,4,"0"
"64",0.1,0.585,260253,0.513,0,0.147,-7.126,0,0.07,133.387,0.533,1,4,"0"
"65",0.097,0.662,194080,0.586,0.00272,0.115,-8.821,1,0.0307,90,0.296,0,4,"0"
"66",0.114,0.638,245604,0.6,0,0.187,-5.84,0,0.0438,101.981,0.0399,1,4,"0"
"67",0.278,0.782,163893,0.751,0,0.0367,-7.023,1,0.28,135.277,0.688,5,4,"0"
"68",0.244,0.812,128157,0.621,0,0.099,-8.3,1,0.0515,77.998,0.847,5,4,"0"
"69",0.0244,0.636,273803,0.953,0.0164,0.108,-3.74,1,0.0353,142.011,0.397,2,4,"0"
"70",0.326,0.619,206400,0.539,0,0.106,-5.688,0,0.0409,112.006,0.39,1,4,"0"
"71",0.181,0.597,239853,0.743,0,0.0796,-3.095,1,0.042,122.798,0.299,6,4,"0"
"72",0.0734,0.803,254080,0.585,2.87e-05,0.201,-5.39,1,0.087,146.02,0.241,0,4,"0"
"73",0.0183,0.674,265600,0.779,7.35e-06,0.474,-5.779,1,0.0509,109.933,0.732,0,4,"0"
"74",0.333,0.439,183413,0.802,0,0.377,-3.644,1,0.054,168.032,0.725,7,4,"0"
"75",0.00413,0.653,202805,0.718,0,0.0537,-5.232,0,0.213,82.034,0.216,3,4,"0"
"76",0.299,0.68,206013,0.429,0,0.195,-8.297,1,0.218,76.806,0.595,1,4,"0"
"77",0.0972,0.531,226307,0.746,0,0.102,-4.228,1,0.0329,139.788,0.304,11,4,"0"
"78",0.014,0.735,232880,0.886,0,0.0788,-5.572,0,0.216,113.002,0.758,9,4,"0"
"79",0.446,0.64,321027,0.423,0.000151,0.095,-10.567,0,0.0657,120.029,0.18,8,4,"0"
"80",0.0358,0.596,204013,0.851,3.19e-05,0.365,-4.245,0,0.121,202.049,0.612,5,4,"0"
"81",0.0288,0.513,220307,0.674,3.79e-05,0.188,-6.483,0,0.0776,174.019,0.192,8,4,"0"
"82",0.0969,0.774,211475,0.626,3.12e-05,0.0848,-4.432,0,0.0432,100.041,0.777,3,4,"0"
"83",0.0322,0.549,221920,0.595,0,0.103,-7.583,0,0.0989,149.859,0.387,7,4,"0"
"84",0.484,0.71,165853,0.404,0,0.0953,-10.04,0,0.379,139.553,0.398,1,4,"0"
"85",0.355,0.637,111640,0.477,0.0682,0.0981,-12.733,0,0.117,90.018,0.468,5,4,"0"
"86",0.0677,0.652,198653,0.637,0,0.0996,-8.094,1,0.0593,110.08,0.173,1,4,"0"
"87",0.0466,0.853,220173,0.65,7.27e-06,0.089,-7.03,0,0.0837,113.993,0.85,7,4,"0"
"88",0.0475,0.71,223293,0.805,0,0.16,-5.045,0,0.0546,116.985,0.72,7,4,"0"
"89",0.0266,0.66,235693,0.698,0,0.296,-6.266,0,0.0467,120.959,0.396,5,4,"0"
"90",0.0386,0.482,219547,0.823,3.69e-05,0.0948,-4.446,1,0.0661,167.665,0.451,9,4,"0"
"91",0.372,0.696,141413,0.567,0,0.112,-8.907,1,0.0374,98.034,0.389,9,4,"0"
"92",0.0587,0.785,228000,0.571,0,0.327,-7.477,1,0.0382,120.025,0.219,0,4,"0"
"93",0,0,73887,2.01e-05,0,0,-15.776,1,0,0,0,5,0,"0"
"94",0.0398,0.683,237707,0.708,0.155,0.686,-6.244,0,0.0305,92.991,0.355,5,4,"0"
"95",0.592,0.588,242081,0.471,0.00146,0.0733,-7.287,1,0.0577,152.881,0.209,0,4,"0"
"96",0.0223,0.638,207627,0.699,0,0.0917,-5.54,0,0.384,92.939,0.66,1,4,"0"
"97",0.255,0.502,243491,0.786,0,0.65,-4.378,0,0.317,169.021,0.739,9,4,"0"
"98",0.617,0.703,221747,0.757,0,0.106,-3.612,1,0.05,82.008,0.696,1,4,"0"
"99",0.547,0.729,212627,0.546,0.00287,0.0651,-9.305,1,0.0285,119.941,0.406,7,4,"0"
"100",0.0935,0.819,219160,0.913,3.72e-05,0.161,-3.059,0,0.0427,119.989,0.536,4,4,"0"
"101",0.00155,0.723,216800,0.824,0.167,0.333,-5.911,0,0.0331,123.011,0.76,11,4,"0"
"102",0.000198,0.529,238880,0.922,0,0.26,-3.84,1,0.0459,109.847,0.628,3,4,"0"
"103",0.123,0.768,281987,0.687,0,0.113,-5.454,0,0.113,140.064,0.294,6,4,"0"
"104",0.322,0.752,213535,0.784,0,0.11,-4.941,1,0.0754,135.039,0.464,0,4,"0"
"105",0.101,0.568,240280,0.562,6.16e-05,0.363,-7.775,1,0.0418,133.647,0.247,9,4,"0"
